query,resolved_name,matched_name,resolved_status,matched_status,match_type,taxid
Austroblechnum lanceolatum (R.Br.) Gasper & V.A.O.Dittrich,Austroblechnum lanceolatum (R. Br.) Gasper & V. A. O. Dittrich,Austroblechnum lanceolatum (R. Br.) Gasper & V. A. O. Dittrich,accepted,accepted,auto_punct,2853617
Crepidomanes draytonianum (Brack.) Ebihara & K.Iwats.,Crepidomanes draytonianum (Brack.) Ebihara & K. Iwats.,Crepidomanes draytonianum (Brack.) Ebihara & K. Iwats.,accepted,accepted,auto_punct,2853618
Oreogrammitis conformis (Brack.) Parris,Oreogrammitis conformis (Brack.) Parris,Oreogrammitis conformis (Brack.) Parris,accepted,accepted,exact,2853619
Oreogrammitis scleroglossoides (Copel.) Parris,Oreogrammitis scleroglossoides (Copel.) Parris,Oreogrammitis scleroglossoides (Copel.) Parris,accepted,accepted,exact,2853620
Prosaptia samoensis (C.Chr.) Parris,Prosaptia samoensis (C. Chr.) Parris,Prosaptia samoensis (C. Chr.) Parris,accepted,accepted,auto_punct,2853622
Asplenium trichomanes subsp. densum (Brack.) W.H.Wagner,Asplenium trichomanes subsp. densum (Brack.) W. H. Wagner,Asplenium trichomanes subsp. densum (Brack.) W. H. Wagner,accepted,accepted,auto_punct,2853734
Cephalomanes atrovirens subsp. boryanum (Kunze) K.Iwats.,Cephalomanes atrovirens subsp. boryanum (Kunze) K. Iwats.,Cephalomanes atrovirens subsp. boryanum (Kunze) K. Iwats.,accepted,accepted,auto_punct,2853735
Crepidomanes saxifragoides (C.Presl) P.S.Green,Crepidomanes saxifragoides (C. Presl) P. S. Green,Crepidomanes saxifragoides (C. Presl) P. S. Green,accepted,accepted,auto_punct,2853736
Diplazium oblongifolium (Hook.) Jermy,Diplazium oblongifolium (Hook.) Jermy,Diplazium oblongifolium (Hook.) Jermy,accepted,accepted,exact,2853741
Adenophorus sarmentosus var. rockii (Copel.) O.Deg. & I.Deg.,Adenophorus sarmentosus var. rockii (Copel.) O. Deg. & I. Deg.,Adenophorus sarmentosus var. rockii (Copel.) O. Deg. & I. Deg.,accepted,accepted,auto_punct,2853743
Dicranopteris weatherbyi (Fosberg) Glassman,Dicranopteris weatherbyi (Fosberg) Glassman,Dicranopteris weatherbyi (Fosberg) Glassman,accepted,accepted,exact,2853744
Diplopterygium pinnatum (Kunze) Nakai,Diplopterygium pinnatum (Kunze) Nakai,Diplopterygium pinnatum (Kunze) Nakai,accepted,accepted,exact,2853745
Ctenitis latifrons (Brack.) Copel.,Ctenitis latifrons (Brack.) Copel.,Ctenitis latifrons (Brack.) Copel.,accepted,accepted,exact,2853746
Ctenitis squamigera (Hook. & Arn.) Copel.,Ctenitis squamigera (Brack.) Copel.,Ctenitis squamigera (Brack.) Copel.,accepted,accepted,auto_basexin,2853747
Sticherus owhyhensis (Hook.) Ching,Sticherus owhyhensis (Hook.) Ching,Sticherus owhyhensis (Hook.) Ching,accepted,accepted,exact,2853748
Athyrium microphyllum (Sm.) Alston,Athyrium microphyllum (Sm.) Alston,Athyrium microphyllum (Sm.) Alston,accepted,accepted,exact,2853749
Hymenophyllum macgillivrayi (Baker) Copel.,Hymenophyllum macgillivrayi (Baker) Copel.,Hymenophyllum macgillivrayi (Baker) Copel.,accepted,accepted,exact,2853750
Dennstaedtia flaccida (J.R.Forst.) Bernh.,Dennstaedtia flaccida (G. Forst.) Bernh.,Dennstaedtia flaccida (G. Forst.) Bernh.,accepted,accepted,auto_basexin,2853752
Lomariopsis oleandrifolia (Brack.) Mett. ex Kuhn,Lomariopsis oleandrifolia Mett. ex Kuhn,Lomariopsis oleandrifolia Mett. ex Kuhn,accepted,accepted,auto_basio+,2853753
Nephrolepis exaltata subsp. hawaiiensis W.H.Wagner,Nephrolepis exaltata subsp. hawaiiensis W. H. Wagner,Nephrolepis exaltata subsp. hawaiiensis W. H. Wagner,accepted,accepted,auto_punct,2853756
Arachniodes insularis W.H.Wagner,Arachniodes insularis W. H. Wagner,Arachniodes insularis W. H. Wagner,accepted,accepted,auto_punct,2853757
Doryopteris angelica K.Wood & W.H.Wagner,Doryopteris angelica K. Wood & W. H. Wagner,Doryopteris angelica K. Wood & W. H. Wagner,accepted,accepted,auto_punct,2853758
Sadleria wagneriana D.D.Palmer & Flynn,Sadleria wagneriana D. D. Palmer & Flynn,Sadleria wagneriana D. D. Palmer & Flynn,accepted,accepted,auto_punct,2853759
Vandenboschia tubiflora F.S.Wagner,Vandenboschia tubiflora F. S. Wagner,Vandenboschia tubiflora F. S. Wagner,accepted,accepted,auto_punct,2853760
Hypolepis hawaiiensis Brownsey,Hypolepis hawaiiensis Brownsey,Hypolepis hawaiiensis Brownsey,accepted,accepted,exact,2853761
Lindsaea repens var. lingulata K.U.Kramer,Lindsaea repens var. lingulata K. U. Kramer,Lindsaea repens var. lingulata K. U. Kramer,accepted,accepted,auto_punct,2853762
