query,resolved_name,matched_name,resolved_status,matched_status,match_type,taxid
Psilotum nudum (L.) P.Beauv.,Psilotum nudum (L.) P. Beauv.,Psilotum nudum (L.) P. Beauv.,accepted,accepted,auto_punct,3240
Equisetum arvense L.,Equisetum arvense L.,Equisetum arvense L.,accepted,accepted,exact,3258
Equisetum giganteum L.,Equisetum giganteum L.,Equisetum giganteum L.,accepted,accepted,exact,3259
Equisetum telmateia Ehrh.,Equisetum telmateia Ehrh.,Equisetum telmateia Ehrh.,accepted,accepted,exact,3260
Equisetum scirpoides Michx.,Equisetum scirpoides Michx.,Equisetum scirpoides Michx.,accepted,accepted,exact,3261
Equisetum hyemale L.,Equisetum hyemale L.,Equisetum hyemale L.,accepted,accepted,exact,3262
Angiopteris lygodiifolia Rosenst.,Angiopteris lygodiifolia Rosenst.,Angiopteris lygodiifolia Rosenst.,accepted,accepted,exact,3267
Dicksonia antarctica Labill.,Dicksonia antarctica Labill.,Dicksonia antarctica Labill.,accepted,accepted,exact,3271
Matteuccia struthiopteris (L.) Tod.,Matteuccia struthiopteris (L.) Tod.,Matteuccia struthiopteris (L.) Tod.,accepted,accepted,exact,3277
Polystichum munitum (Kaulf.) C.Presl,Polystichum munitum (Kaulf.) C. Presl,Polystichum munitum (Kaulf.) C. Presl,accepted,accepted,auto_punct,3279
Onoclea sensibilis L.,Onoclea sensibilis L.,Onoclea sensibilis L.,accepted,accepted,exact,3281
Osmundastrum cinnamomeum (L.) C.Presl,Osmundastrum cinnamomeum (L.) C. Presl,Osmundastrum cinnamomeum (L.) C. Presl,accepted,accepted,auto_punct,3284
Osmunda regalis L.,Osmunda regalis L.,Osmunda regalis L.,accepted,accepted,exact,3285
Dryopteris filix-mas (L.) Schott,Dryopteris filix-mas (L.) Schott,Dryopteris filix-mas (L.) Schott,accepted,accepted,exact,3289
Anemia phyllitidis (L.) Sw.,Anemia phyllitidis (L.) Sw.,Anemia phyllitidis (L.) Sw.,accepted,accepted,exact,12940
Calochlaena dubia (R.Br.) M.D.Turner & R.A.White,Calochlaena dubia (R. Br.) M. D. Turner & R. A. White,Calochlaena dubia (R. Br.) M. D. Turner & R. A. White,accepted,accepted,auto_punct,13023
Marsilea quadrifolia L.,Marsilea quadrifolia L.,Marsilea quadrifolia L.,accepted,accepted,exact,13816
Adiantum capillus-veneris L.,Adiantum capillus-veneris L.,Adiantum capillus-veneris L.,accepted,accepted,exact,13818
Adiantum capillus-veneris L.,Adiantum capillus-veneris L.,Adiantum capillus-veneris L.,accepted,accepted,exact,13818
Pteris vittata L.,Pteris vittata L.,Pteris vittata L.,accepted,accepted,exact,13821
Lygodium japonicum (Thunb.) Sw.,Lygodium japonicum (Thunb.) Sw.,Lygodium japonicum (Thunb.) Sw.,accepted,accepted,exact,13824
Angiopteris evecta (G.Forst.) Hoffm.,Angiopteris evecta (G. Forst.) Hoffm.,Angiopteris evecta (G. Forst.) Hoffm.,accepted,accepted,auto_punct,13825
Sceptridium biternatum (Savigny) Lyon,Sceptridium biternatum (Savigny) Lyon,Sceptridium biternatum (Savigny) Lyon,accepted,accepted,exact,13830
Ophioglossum engelmannii Prantl,Ophioglossum engelmannii Prantl,Ophioglossum engelmannii Prantl,accepted,accepted,exact,13834
Polystichum acrostichoides (Michx.) Schott,Polystichum acrostichoides (Michx.) Schott,Polystichum acrostichoides (Michx.) Schott,accepted,accepted,exact,28470
Cibotium barometz (L.) J.Sm.,Cibotium barometz (L.) J. Sm.,Cibotium barometz (L.) J. Sm.,accepted,accepted,auto_punct,29588
Claytosmunda claytoniana (L.) Metzgar & Rouhan,Claytosmunda claytoniana (L.) Metzgar & Rouhan,Claytosmunda claytoniana (L.) Metzgar & Rouhan,accepted,accepted,exact,29589
Adiantum pedatum L.,Adiantum pedatum L.,Adiantum pedatum L.,accepted,accepted,exact,29590
Acrostichum aureum L.,Acrostichum aureum L.,Acrostichum aureum L.,accepted,accepted,exact,29594
Ceratopteris thalictroides (L.) Brongn.,Ceratopteris thalictroides (L.) Brongn.,Ceratopteris thalictroides (L.) Brongn.,accepted,accepted,exact,29596
Coniogramme japonica (Thunb.) Diels,Coniogramme japonica (Thunb.) Diels,Coniogramme japonica (Thunb.) Diels,accepted,accepted,exact,29598
Anemia mexicana Klotzsch,Anemia mexicana Klotzsch,Anemia mexicana Klotzsch,accepted,accepted,exact,29599
Stenochlaena tenuifolia (Desv.) T.Moore,Stenochlaena tenuifolia (Desv.) T. Moore,Stenochlaena tenuifolia (Desv.) T. Moore,accepted,accepted,auto_punct,29602
Tectaria gaudichaudii (Mett.) Maxon,Tectaria gaudichaudii (Mett.) Maxon,Tectaria gaudichaudii (Mett.) Maxon,accepted,accepted,exact,29609
Thelypteris palustris (A.Gray) Schott,Thelypteris palustris (Salisb.) Schott,Thelypteris palustris (Salisb.) Schott,accepted,accepted,auto_basexin,29618
Crepidomanes thysanostomum (Makino) Ebihara & K.Iwats.,Crepidomanes thysanostomum (Makino) Ebihara & K. Iwats.,Crepidomanes thysanostomum (Makino) Ebihara & K. Iwats.,accepted,accepted,auto_punct,29623
Vandenboschia striata (D.Don) Ebihara,Vandenboschia striata (D. Don) Ebihara,Vandenboschia striata (D. Don) Ebihara,accepted,accepted,auto_punct,29625
Antrophyum reticulatum (G.Forst.) Kaulf.,Antrophyum reticulatum (G. Forst.) Kaulf.,Antrophyum reticulatum (G. Forst.) Kaulf.,accepted,accepted,auto_punct,29628
Arthropteris beckleri (Hook.) Mett.,Arthropteris beckleri (Hook.) Mett.,Arthropteris beckleri (Hook.) Mett.,accepted,accepted,exact,29631
Cheiropleuria bicuspis (Blume) C.Presl,Cheiropleuria bicuspis (Blume) C. Presl,Cheiropleuria bicuspis (Blume) C. Presl,accepted,accepted,auto_punct,29634
Asplenium nidus L.,Asplenium nidus L.,Asplenium nidus L.,accepted,accepted,exact,29642
Neoblechnum brasiliense (Desv.) Gasper & V.A.O.Dittrich,Neoblechnum brasiliense (Desv.) Gasper & V. A. O. Dittrich,Neoblechnum brasiliense (Desv.) Gasper & V. A. O. Dittrich,accepted,accepted,auto_punct,32072
Blechnum occidentale L.,Blechnum occidentale L.,Blechnum occidentale L.,accepted,accepted,exact,32073
Doodia maxima J.Sm. ex C.Chr.,Doodia maxima (R. Br.) J. Sm.,Doodia maxima (R. Br.) J. Sm.,accepted,accepted,auto_basexin,32075
Doodia media R.Br.,Doodia media R. Br.,Doodia media R. Br.,accepted,accepted,auto_punct,32076
Sadleria pallida Hook. & Arn.,Sadleria pallida Hook. & Arn.,Sadleria pallida Hook. & Arn.,accepted,accepted,exact,32078
Stenochlaena palustris (Burm.f.) Bedd.,Stenochlaena palustris (Burm. fil.) Bedd.,Stenochlaena palustris (Burm. fil.) Bedd.,accepted,accepted,auto_basexin,32079
Blotiella pubescens (Kaulf.) R.M.Tryon,Blotiella pubescens (Willd. ex Kaulf.) R. M. Tryon,Blotiella pubescens (Willd. ex Kaulf.) R. M. Tryon,accepted,accepted,auto_basexin,32086
Dennstaedtia punctilobula (Michx.) T.Moore,Dennstaedtia punctilobula (Michx.) T. Moore,Dennstaedtia punctilobula (Michx.) T. Moore,accepted,accepted,auto_punct,32088
Histiopteris incisa (Thunb.) J.Sm.,Histiopteris incisa (Thunb.) J. Sm.,Histiopteris incisa (Thunb.) J. Sm.,accepted,accepted,auto_punct,32090
Hypolepis punctata (Thunb.) Mett. ex Kuhn,Hypolepis punctata (Thunb. ex Murray) Mett. ex Kuhn,Hypolepis punctata (Thunb. ex Murray) Mett. ex Kuhn,accepted,accepted,auto_basexin,32093
Lonchitis hirsuta L.,Lonchitis hirsuta L.,Lonchitis hirsuta L.,accepted,accepted,exact,32095
Microlepia strigosa (Thunb.) C.Presl,Microlepia strigosa (Thunb.) C. Presl,Microlepia strigosa (Thunb.) C. Presl,accepted,accepted,auto_punct,32097
Paesia scaberula (A.Rich.) Kuhn,Paesia scaberula (A. Rich.) Kuhn,Paesia scaberula (A. Rich.) Kuhn,accepted,accepted,auto_punct,32099
Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn,accepted,accepted,exact,32101
Pteridium esculentum (G.Forst.) Nakai,Pteridium esculentum (G. Forst.) Nakai,Pteridium esculentum (G. Forst.) Nakai,accepted,accepted,auto_punct,32102
Calochlaena villosa (C.Chr.) M.D.Turner & R.A.White,Calochlaena villosa (C. Chr.) M. D. Turner & R. A. White,Calochlaena villosa (C. Chr.) M. D. Turner & R. A. White,accepted,accepted,auto_punct,32104
Cibotium glaucum (Sm.) Hook. & Arn.,Cibotium glaucum (Sm.) Hook. & Arn.,Cibotium glaucum (Sm.) Hook. & Arn.,accepted,accepted,exact,32105
Dipteris conjugata Reinw.,Dipteris conjugata Reinw.,Dipteris conjugata Reinw.,accepted,accepted,exact,32108
Athyrium filix-femina (L.) Roth,Athyrium filix-femina (L.) Roth,Athyrium filix-femina (L.) Roth,accepted,accepted,exact,32110
Cystopteris fragilis (L.) Bernh.,Cystopteris fragilis (L.) Bernh.,Cystopteris fragilis (L.) Bernh.,accepted,accepted,exact,32112
Dryopteris cristata (L.) A.Gray,Dryopteris cristata (L.) A. Gray,Dryopteris cristata (L.) A. Gray,accepted,accepted,auto_punct,32114
Gymnocarpium dryopteris (L.) Newman,Gymnocarpium dryopteris (L.) Newman,Gymnocarpium dryopteris (L.) Newman,accepted,accepted,exact,32116
Gymnocarpium oyamense (Baker) Ching,Gymnocarpium oyamense (Baker) Ching,Gymnocarpium oyamense (Baker) Ching,accepted,accepted,exact,32117
Rumohra adiantiformis (G.Forst.) Ching,Rumohra adiantiformis (G. Forst.) Ching,Rumohra adiantiformis (G. Forst.) Ching,accepted,accepted,auto_punct,32119
Woodsia polystichoides D.C.Eaton,Woodsia polystichoides D. C. Eaton,Woodsia polystichoides D. C. Eaton,accepted,accepted,auto_punct,32120
Stromatopteris moniliformis Mett.,Stromatopteris moniliformis Mett.,Stromatopteris moniliformis Mett.,accepted,accepted,exact,32122
Micropolypodium okuboi (Yatabe) Hayata,Micropolypodium okuboi (Yatabe) Hayata,Micropolypodium okuboi (Yatabe) Hayata,accepted,accepted,exact,32125
Lindsaea ensifolia Sw.,Lindsaea ensifolia Sw.,Lindsaea ensifolia Sw.,accepted,accepted,exact,32130
Osmolindsaea odorata (Roxb.) Lehtonen & Christenh.,Osmolindsaea odorata (Roxb.) Lehtonen & Christenh.,Osmolindsaea odorata (Roxb.) Lehtonen & Christenh.,accepted,accepted,exact,32131
Odontosoria chinensis (L.) J.Sm.,Odontosoria chinensis (L.) J. Sm.,Odontosoria chinensis (L.) J. Sm.,accepted,accepted,auto_punct,32133
Odontosoria scandens (Desv.) C.Chr.,Odontosoria scandens (Desv.) C. Chr.,Odontosoria scandens (Desv.) C. Chr.,accepted,accepted,auto_punct,32134
Elaphoglossum hybridum (Bory) Brack.,Elaphoglossum hybridum (Bory) Brack.,Elaphoglossum hybridum (Bory) Brack.,accepted,accepted,exact,32139
Elaphoglossum yoshinagae (Yatabe) Makino,Elaphoglossum yoshinagae (Yatabe) Makino,Elaphoglossum yoshinagae (Yatabe) Makino,accepted,accepted,exact,32140
Matonia pectinata R.Br.,Matonia pectinata R. Br.,Matonia pectinata R. Br.,accepted,accepted,auto_punct,32143
Metaxya rostrata (Humb. & Bonpl. ex Willd.) C.Presl.,Metaxya rostrata (Kunth) C. Presl,Metaxya rostrata (Kunth) C. Presl,accepted,accepted,auto_basexin,32146
Monachosorum henryi Christ,Monachosorum henryi Christ,Monachosorum henryi Christ,accepted,accepted,exact,32150
Nephrolepis cordifolia (L.) C.Presl,Nephrolepis cordifolia (L.) C. Presl,Nephrolepis cordifolia (L.) C. Presl,accepted,accepted,auto_punct,32153
Nephrolepis hirsutula (G.Forst.) C.Presl,Nephrolepis hirsutula (G. Forst.) C. Presl,Nephrolepis hirsutula (G. Forst.) C. Presl,accepted,accepted,auto_punct,32154
Oleandra pistillaris (Sw.) C.Chr.,Oleandra pistillaris (Sw.) C. Chr.,Oleandra pistillaris (Sw.) C. Chr.,accepted,accepted,auto_punct,32156
Plagiogyria japonica Nakai,Plagiogyria japonica Nakai,Plagiogyria japonica Nakai,accepted,accepted,exact,32161
Lepisorus thunbergianus (Kaulf.) Ching,Lepisorus thunbergianus (Kaulf.) Ching,Lepisorus thunbergianus (Kaulf.) Ching,accepted,accepted,exact,32163
Loxogramme grammitoides (Baker) C.Chr.,Loxogramme grammitoides (Baker) C. Chr.,Loxogramme grammitoides (Baker) C. Chr.,accepted,accepted,auto_punct,32165
Adiantum raddianum C.Presl,Adiantum raddianum C. Presl,Adiantum raddianum C. Presl,accepted,accepted,auto_punct,32168
Doryopteris concolor (Langsd. & Fisch.) Kuhn,Doryopteris concolor (Langsd. & Fisch.) Kuhn,Doryopteris concolor (Langsd. & Fisch.) Kuhn,accepted,accepted,exact,32170
Onychium japonicum (Thunb.) Kunze,Onychium japonicum (Thunb.) Kunze,Onychium japonicum (Thunb.) Kunze,accepted,accepted,exact,32172
Pteris platyzomopsis Christenh. & H.Schneid.,Pteris platyzomopsis Christenh. & H. Schneid.,Pteris platyzomopsis Christenh. & H. Schneid.,accepted,accepted,auto_punct,32174
Pteris fauriei Hieron.,Pteris fauriei Hieron.,Pteris fauriei Hieron.,accepted,accepted,exact,32175
Taenitis blechnoides (Willd.) Sw.,Taenitis blechnoides (Willd.) Sw.,Taenitis blechnoides (Willd.) Sw.,accepted,accepted,exact,32177
Amauropelta beddomei (Baker) Y.H.Chang,Amauropelta beddomei (Baker) Y. H. Chang,Amauropelta beddomei (Baker) Y. H. Chang,accepted,accepted,auto_punct,32182
Haplopteris flexuosa (Fee) E.H.Crane,Haplopteris flexuosa (Fée) E. H. Crane,Haplopteris flexuosa (Fée) E. H. Crane,accepted,accepted,auto_punct,32184
Salvinia cucullata Roxb.,Salvinia cucullata Roxb. ex Bory,Salvinia cucullata Roxb. ex Bory,accepted,accepted,auto_exin-,32188
Dryopteris dickinsii (Franch. & Sav.) C.Chr.,Dryopteris dickinsii (Franch. & Sav.) C. Chr.,Dryopteris dickinsii (Franch. & Sav.) C. Chr.,accepted,accepted,auto_punct,34164
Nephrolepis exaltata (L.) Schott,Nephrolepis exaltata (L.) Schott,Nephrolepis exaltata (L.) Schott,accepted,accepted,exact,34165
Dennstaedtia samoensis (Brack.) T.Moore,Dennstaedtia samoensis (Brack.) T. Moore,Dennstaedtia samoensis (Brack.) T. Moore,accepted,accepted,auto_punct,37210
Hypolepis tenuifolia (G.Forst.) Bernh.,Hypolepis tenuifolia (G. Forst.) Bernh.,Hypolepis tenuifolia (G. Forst.) Bernh.,accepted,accepted,auto_punct,37211
Lonchitis mannii (Baker) Alston,Lonchitis mannii (Baker) Alston,Lonchitis mannii (Baker) Alston,accepted,accepted,exact,37212
Microlepia platyphylla (D.Don) J.Sm.,Microlepia platyphylla (D. Don) J. Sm.,Microlepia platyphylla (D. Don) J. Sm.,accepted,accepted,auto_punct,37213
Dennstaedtia wilfordii (T.Moore) Christ,Dennstaedtia wilfordii (T. Moore) Christ,Dennstaedtia wilfordii (T. Moore) Christ,accepted,accepted,auto_punct,37216
Leptolepia novae-zelandiae (Colenso) Mett. ex Diels,Leptolepia novae-zelandiae (Colenso) Mett. ex Diels,Leptolepia novae-zelandiae (Colenso) Mett. ex Diels,accepted,accepted,exact,37218
Saccoloma elegans Kaulf.,Saccoloma elegans Kaulf.,Saccoloma elegans Kaulf.,accepted,accepted,exact,37222
Tapeinidium luzonicum (Hook.) K.U.Kramer,Tapeinidium luzonicum (Hook.) K. U. Kramer,Tapeinidium luzonicum (Hook.) K. U. Kramer,accepted,accepted,auto_punct,37225
Tapeinidium melanesicum K.U.Kramer,Tapeinidium melanesicum K. U. Kramer,Tapeinidium melanesicum K. U. Kramer,accepted,accepted,auto_punct,37226
Culcita coniifolia (Hook.) Maxon,Culcita coniifolia (Hook.) Maxon,Culcita coniifolia (Hook.) Maxon,accepted,accepted,exact,37227
Dicranopteris linearis (Burm.f.) Underw.,Dicranopteris linearis (Burm. fil.) Underw.,Dicranopteris linearis (Burm. fil.) Underw.,accepted,accepted,auto_basexin,37229
Lindsaea parasitica (J.Roxb. ex Griff.) Hieron.,Lindsaea parasitica (Roxb. ex Griff.) Hieron.,Lindsaea parasitica (Roxb. ex Griff.) Hieron.,accepted,accepted,auto_basexin,37230
Botrychium lunaria (L.) Sw.,Botrychium lunaria (L.) Sw.,Botrychium lunaria (L.) Sw.,accepted,accepted,exact,37231
Ophioglossum petiolatum Hook.,Ophioglossum petiolatum Hook.,Ophioglossum petiolatum Hook.,accepted,accepted,exact,37426
Bommeria ehrenbergiana (Klotzsch) Underw.,Bommeria ehrenbergiana (Klotzsch) Underw.,Bommeria ehrenbergiana (Klotzsch) Underw.,accepted,accepted,exact,37455
Aleuritopteris albofusca (Baker) Pic.Serm.,Aleuritopteris albofusca (Baker) Pic. Serm.,Aleuritopteris albofusca (Baker) Pic. Serm.,accepted,accepted,auto_punct,37457
Myriopteris aurea (Poir.) Grusz & Windham,Myriopteris aurea (Poir.) Grusz & Windham,Myriopteris aurea (Poir.) Grusz & Windham,accepted,accepted,exact,37458
Argyrochosma delicatula (Maxon & Weath.) Windham,Argyrochosma delicatula (Maxon & Weath.) Windham,Argyrochosma delicatula (Maxon & Weath.) Windham,accepted,accepted,exact,37460
Pellaea andromedifolia (Kaulf.) Fee,Pellaea andromedifolia (Kaulf.) Fée,Pellaea andromedifolia (Kaulf.) Fée,accepted,accepted,auto_punct,37462
Tmesipteris tannensis (Spreng.) Bernh.,Tmesipteris tannensis (Spreng.) Bernh.,Tmesipteris tannensis (Spreng.) Bernh.,accepted,accepted,exact,37838
Pleopeltis macrocarpa (Bory ex Willd.) Kaulf.,Pleopeltis macrocarpa (Bory ex Willd.) Kaulf.,Pleopeltis macrocarpa (Bory ex Willd.) Kaulf.,accepted,accepted,exact,38350
Pleopeltis thyssanolepis (A.Braun ex Klotzsch) E.G.Andrews & Windham,Pleopeltis thyssanolepis (A. Braun ex Klotzsch) E. G. Andrews & Windham,Pleopeltis thyssanolepis (A. Braun ex Klotzsch) E. G. Andrews & Windham,accepted,accepted,auto_punct,38351
Polypodium appalachianum Haufler & Windham,Polypodium appalachianum Haufler & Windham,Polypodium appalachianum Haufler & Windham,accepted,accepted,exact,38354
Polypodium amorphum Suksd.,Polypodium amorphum Suksd.,Polypodium amorphum Suksd.,accepted,accepted,exact,38355
Polypodium plesiosorum Kunze,Polypodium plesiosorum Kunze,Polypodium plesiosorum Kunze,accepted,accepted,exact,38357
Polypodium rhodopleuron Kunze,Polypodium rhodopleuron Kunze,Polypodium rhodopleuron Kunze,accepted,accepted,exact,38389
Polypodium glycyrrhiza D.C.Eaton,Polypodium glycyrrhiza D. C. Eaton,Polypodium glycyrrhiza D. C. Eaton,accepted,accepted,auto_punct,38390
Polypodium fauriei (Copel.) Makino & Nemoto,Polypodium fauriei Christ,Polypodium fauriei Christ,accepted,accepted,auto_cfonly,38391
Polypodium pellucidum Kaulf.,Polypodium pellucidum Kaulf.,Polypodium pellucidum Kaulf.,accepted,accepted,exact,38392
Polypodium scouleri Hook. & Grev.,Polypodium scouleri Hook. & Grev.,Polypodium scouleri Hook. & Grev.,accepted,accepted,exact,38393
Cibotium schiedei Schltdl. & Cham.,Cibotium schiedei Schltdl. & Cham.,Cibotium schiedei Schltdl. & Cham.,accepted,accepted,exact,38493
Polytaenium cajenense (Desv.) Benedict,Polytaenium cajenense (Desv.) Benedict,Polytaenium cajenense (Desv.) Benedict,accepted,accepted,exact,38535
Polytaenium lineatum (Sw.) J.Sm.,Polytaenium lineatum (Sw.) J. Sm.,Polytaenium lineatum (Sw.) J. Sm.,accepted,accepted,auto_punct,38536
Vittaria isoetifolia Bory,Vittaria isoetifolia Bory,Vittaria isoetifolia Bory,accepted,accepted,exact,38537
Ananthacorus angustifolius Underw. & Maxon,Ananthacorus angustifolius (Sw.) Underw. & Maxon,Ananthacorus angustifolius (Sw.) Underw. & Maxon,accepted,accepted,auto_basio-,38540
Scoliosorus ensiformis (Hook.) T.Moore,Scoliosorus ensiformis (Hook.) T. Moore,Scoliosorus ensiformis (Hook.) T. Moore,accepted,accepted,auto_punct,38541
Antrophyopsis boryana (Willd.) Schuettp.,Antrophyopsis boryana (Willd.) Schuettp.,Antrophyopsis boryana (Willd.) Schuettp.,accepted,accepted,exact,38542
Polytaenium citrifolium (L.) Schuettp.,Polytaenium citrifolium (L.) Schuettp.,Polytaenium citrifolium (L.) Schuettp.,accepted,accepted,exact,38637
Antrophyum plantagineum (Cav.) Kaulf.,Antrophyum plantagineum (Cav.) Kaulf.,Antrophyum plantagineum (Cav.) Kaulf.,accepted,accepted,exact,38638
Hecistopteris pumila (Spreng.) J.Sm.,Hecistopteris pumila (Spreng.) J. Sm.,Hecistopteris pumila (Spreng.) J. Sm.,accepted,accepted,auto_punct,38640
Radiovittaria minima (Baker) E.H.Crane,Radiovittaria minima (Baker) E. H. Crane,Radiovittaria minima (Baker) E. H. Crane,accepted,accepted,auto_punct,38642
Radiovittaria remota (Fee) E.H.Crane,Radiovittaria remota (Fée) E. H. Crane,Radiovittaria remota (Fée) E. H. Crane,accepted,accepted,auto_punct,38643
Haplopteris ensiformis (Sw.) E.H.Crane,Haplopteris ensiformis (Sw.) E. H. Crane,Haplopteris ensiformis (Sw.) E. H. Crane,accepted,accepted,auto_punct,38644
Radiovittaria stipitata (Kunze) E.H.Crane,Radiovittaria stipitata (Kunze) E. H. Crane,Radiovittaria stipitata (Kunze) E. H. Crane,accepted,accepted,auto_punct,38646
Radiovittaria gardneriana (Fee) E.H.Crane,Radiovittaria gardneriana (Fée) E. H. Crane,Radiovittaria gardneriana (Fée) E. H. Crane,accepted,accepted,auto_punct,38647
Vittaria graminifolia Kaulf.,Vittaria graminifolia Kaulf.,Vittaria graminifolia Kaulf.,accepted,accepted,exact,38648
Haplopteris zosterifolia (Willd.) E.H.Crane,Haplopteris zosterifolia (Willd.) E. H. Crane,Haplopteris zosterifolia (Willd.) E. H. Crane,accepted,accepted,auto_punct,38649
Haplopteris anguste-elongata (Hayata) E.H.Crane,Haplopteris anguste-elongata (Hayata) E. H. Crane,Haplopteris anguste-elongata (Hayata) E. H. Crane,accepted,accepted,auto_punct,38724
Azolla caroliniana Willd.,Azolla caroliniana Willd.,Azolla caroliniana Willd.,accepted,accepted,exact,39631
Marsilea macropoda Engelm. ex A.Braun,Marsilea macropoda Engelm. ex A. Braun,Marsilea macropoda Engelm. ex A. Braun,accepted,accepted,auto_punct,39632
Pilularia americana A.Braun,Pilularia americana A. Braun,Pilularia americana A. Braun,accepted,accepted,auto_punct,39634
Regnellidium diphyllum Lindm.,Regnellidium diphyllum Lindm.,Regnellidium diphyllum Lindm.,accepted,accepted,exact,39636
Myriopteris lanosa (Michx.) Grusz & Windham,Myriopteris lanosa (Michx.) Grusz & Windham,Myriopteris lanosa (Michx.) Grusz & Windham,accepted,accepted,exact,40555
Doryopteris pedata (L.) Fee,Doryopteris pedata (L.) Fée,Doryopteris pedata (L.) Fée,accepted,accepted,auto_punct,40556
Myriopteris allosuroides (Mett.) Grusz & Windham,Myriopteris allosuroides (Mett.) Grusz & Windham,Myriopteris allosuroides (Mett.) Grusz & Windham,accepted,accepted,exact,40643
Aleuritopteris duclouxii (Christ) Ching,Aleuritopteris duclouxii (Christ) Ching,Aleuritopteris duclouxii (Christ) Ching,accepted,accepted,exact,40645
Myriopteris scabra (C.Chr.) Grusz & Windham,Myriopteris scabra (C. Chr.) Grusz & Windham,Myriopteris scabra (C. Chr.) Grusz & Windham,accepted,accepted,auto_punct,40646
Mildella intramarginalis (Kaulf. ex Link) Trevis.,Mildella intramarginalis (Kaulf. ex Link) Trevis.,Mildella intramarginalis (Kaulf. ex Link) Trevis.,accepted,accepted,exact,40647
Argyrochosma fendleri (Kunze) Windham,Argyrochosma fendleri (Kunze) Windham,Argyrochosma fendleri (Kunze) Windham,accepted,accepted,exact,40963
Notholaena rosei Maxon,Notholaena rosei Maxon,Notholaena rosei Maxon,accepted,accepted,exact,40964
Llavea cordifolia Lag.,Llavea cordifolia Lag.,Llavea cordifolia Lag.,accepted,accepted,exact,40966
Hemionitis levyi E.Fourn.,Hemionitis levyi E. Fourn.,Hemionitis levyi E. Fourn.,accepted,accepted,auto_punct,40968
Pellaea cordifolia (Sesse & Moc.) A.R.Sm.,Pellaea cordifolia (Sessé & Moc.) A. R. Sm.,Pellaea cordifolia (Sessé & Moc.) A. R. Sm.,accepted,accepted,auto_punct,40970
Notholaena sulphurea (Cav.) J.Sm.,Notholaena sulphurea (Cav.) J. Sm.,Notholaena sulphurea (Cav.) J. Sm.,accepted,accepted,auto_punct,40971
Pellaea pringlei Davenp.,Pellaea pringlei Davenp.,Pellaea pringlei Davenp.,accepted,accepted,exact,40972
Pellaea rotundifolia (G.Forst.) Hook.,Pellaea rotundifolia (G. Forst.) Hook.,Pellaea rotundifolia (G. Forst.) Hook.,accepted,accepted,auto_punct,40973
Pellaea boivinii Hook.,Pellaea boivinii Hook.,Pellaea boivinii Hook.,accepted,accepted,exact,40974
Cheiloplecton rigidum (Sw.) Fee,Cheiloplecton rigidum (Sw.) Fée,Cheiloplecton rigidum (Sw.) Fée,accepted,accepted,auto_punct,40976
Asplenium antiquum Makino,Asplenium antiquum Makino,Asplenium antiquum Makino,accepted,accepted,exact,41894
Helminthostachys zeylanica (L.) Hook.,Helminthostachys zeylanica (L.) Hook.,Helminthostachys zeylanica (L.) Hook.,accepted,accepted,exact,41913
Sceptridium multifidum Nishida ex Tagawa,Sceptridium multifidum (S. G. Gmel.) Nishida ex Tagawa,Sceptridium multifidum (S. G. Gmel.) Nishida ex Tagawa,accepted,accepted,auto_basio-,41914
Botrychium matricariifolium (Doell) A.Braun ex W.D.J.Koch,Botrychium matricariifolium (Döll) A. Braun ex Koch,Botrychium matricariifolium (Döll) A. Braun ex Koch,accepted,accepted,auto_basexin,41915
Botrychium lineare W.H.Wagner,Botrychium lineare W. H. Wagner,Botrychium lineare W. H. Wagner,accepted,accepted,auto_punct,41923
Botrychium minganense Vict.,Botrychium minganense Vict.,Botrychium minganense Vict.,accepted,accepted,exact,41924
Botrychium pinnatum H.St.John,Botrychium pinnatum H. St. John,Botrychium pinnatum H. St. John,accepted,accepted,auto_punct,41928
Botrychium pumicola Coville ex Underw.,Botrychium pumicola Coville,Botrychium pumicola Coville,accepted,accepted,auto_exin+,41930
Botrychium simplex E.Hitchc.,Botrychium simplex E. Hitchc.,Botrychium simplex E. Hitchc.,accepted,accepted,auto_punct,41931
Asplenium scolopendrium L.,Asplenium scolopendrium L.,Asplenium scolopendrium L.,accepted,accepted,exact,41964
Arachniodes aristata (G.Forst.) Tindale,Arachniodes aristata (G. Forst.) Tindale,Arachniodes aristata (G. Forst.) Tindale,accepted,accepted,auto_punct,41966
Loxsoma cunninghamii R.Br. ex A.Cunn.,Loxsoma cunninghamii R. Br. ex A. Cunn.,Loxsoma cunninghamii R. Br. ex A. Cunn.,accepted,accepted,auto_punct,41971
Pleurosoriopsis makinoi (Maxim. ex Makino) Fomin,Pleurosoriopsis makinoi (Maxim.) Fomin,Pleurosoriopsis makinoi (Maxim.) Fomin,accepted,accepted,auto_basexin,41974
Polystichum tripteron (Kunze) C.Presl,Polystichum tripteron (Kunze) C. Presl,Polystichum tripteron (Kunze) C. Presl,accepted,accepted,auto_punct,41975
Salvinia natans (L.) All.,Salvinia natans (L.) All.,Salvinia natans (L.) All.,accepted,accepted,exact,42333
Azolla rubra R.Br.,Azolla rubra R. Br.,Azolla rubra R. Br.,accepted,accepted,auto_punct,45988
