n_fos,minimum_age,node_calibrated,fossil_taxon,affinities_group,affinities,monophyly,number_tips,mrca,stem_mrca,tip_1,tip_2
131,407.6,stem Euphyllophytes,Eophyllophyton bellum,stem,Euphyllophytes,Yes,5762,5773,5772,Oreogrammitis_ctenoidea,Lycopodium_clavatum
140,129.4,stem Dryopteridaceae,Dryopterites beishanensis,stem,Dryopteridaceae,Yes,984,7871,6683,Oreogrammitis_ctenoidea,Parapolystichum_currorii
95,93.9,stem Osmunda,Osmunda granulata,stem,Osmunda,Yes,5,11316,11315,Osmunda_lancea,Plenasium_angustifolium
98,83.6,stem Regnellidium,Regnellidium upatoensis,stem,Regnellidium,Monotypic,1,NA,10796,Pilularia_globulifera,Regnellidium_diphyllum
79,125,stem Loxsomataceae,Loxsomopteris anasilla,stem,Loxsomataceae,Yes,2,10793,10781,Plagiogyria_japonica,Loxsomopsis_pearcei
105,145,stem Thyrsopteridaceae,Oguracaulis banksii,stem,Thyrsopteridaceae,Monotypic,1,NA,10780,Plagiogyria_japonica,Thyrsopteris_elegans
33,15.97,crown Pleopeltis,Pleopeltis dominicensis,crown,Pleopeltis,No,54,7197,7159,Pleopeltis_burchellii,Pleopeltis_rosei
97,27.82,stem Polypodium s.l.,Polypodium radonii,stem,Polypodium s.l.,No,26,7251,7158,Pleopeltis_burchellii,Pleurosoriopsis_makinoi
114,23.03,stem Polystichum,Polystichum pacltovae,stem,Polystichum,No,201,8182,8157,Polystichum_yunnanense,Phanerophlebia_juglandifolia
35,66,stem Acrostichum+Ceratopteris,Acrostichum intertrappeum,stem,Acrostichum+Ceratopteris,Yes,10,5785,5784,Pteris_latipinna,Acrostichum_danaeifolium
113,86.3,crown Schizaeaceae,Paralygodium meckertii,crown,Schizaeaceae,Yes,23,10926,10847,Schizaea_elegans,Actinostachys_digitata
125,33.9,stem Drynaria,Protodrynaria takhtajanii,stem,Drynaria,Yes,28,7277,7276,Selliguea_yakushimensis,Drynaria_willdenowii
123,72.1,stem Woodwardia,Woodwardia sp. indet.,stem,Woodwardia,Yes,12,9153,9152,Woodwardia_unigemmata,Anchistea_virginica
